,Unnamed: 0,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
0,0,ACURA MDX,3.7,6,Auto-S5,4WD,Gasoline,SUV,7,15,20,17,4,no
1,2,ACURA RDX,2.3,4,Auto-S5,4WD,Gasoline,SUV,7,17,22,19,5,no
2,4,ACURA RL,3.5,6,Auto-S5,4WD,Gasoline,midsize car,7,16,24,19,5,no
3,6,ACURA TL,3.2,6,Auto-S5,2WD,Gasoline,midsize car,7,18,26,21,6,yes
4,7,ACURA TL,3.5,6,Auto-S5,2WD,Gasoline,midsize car,7,17,26,20,6,yes
5,8,ACURA TL,3.5,6,Man-6,2WD,Gasoline,midsize car,7,18,27,21,6,yes
6,14,ACURA TSX,2.4,4,Man-6,2WD,Gasoline,small car,6,19,28,22,6,no
7,15,ACURA TSX,2.4,4,Auto-S5,2WD,Gasoline,small car,6,20,28,23,7,yes
8,18,ASTON MARTIN DB9,5.9,12,Man-6,2WD,Gasoline,small car,6,10,16,12,0,no
9,19,ASTON MARTIN DB9,5.9,12,Auto-S6,2WD,Gasoline,small car,6,11,18,13,1,no
10,22,ASTON MARTIN DB9 Volante,5.9,12,Man-6,2WD,Gasoline,small car,6,10,16,12,0,no
11,23,ASTON MARTIN DB9 Volante,5.9,12,Auto-S6,2WD,Gasoline,small car,6,11,17,13,1,no
12,26,ASTON MARTIN V8 Vantage,4.3,8,Man-6,2WD,Gasoline,small car,6,12,19,15,3,no
13,27,ASTON MARTIN V8 Vantage,4.3,8,Auto-S6,2WD,Gasoline,small car,6,13,20,15,3,no
14,28,AUDI A3,2.0,4,Man-6,2WD,Gasoline,station wagon,7,21,29,24,7,yes
15,29,AUDI A3,2.0,4,Auto-S6,2WD,Gasoline,station wagon,7,22,29,25,7,yes
16,33,AUDI A3,3.2,6,Auto-S6,4WD,Gasoline,station wagon,6,18,25,21,6,no
17,34,AUDI A4,2.0,4,Auto-AV,2WD,Gasoline,small car,7,21,30,24,7,yes
18,39,AUDI A4,3.1,6,Man-6,4WD,Gasoline,small car,6,15,25,19,5,no
19,40,AUDI A4,3.1,6,Auto-S6,4WD,Gasoline,small car,6,17,25,20,6,no
20,41,AUDI A4,3.1,6,Auto-AV,2WD,Gasoline,small car,6,18,27,21,6,no
21,44,AUDI A4 Avant,3.1,6,Man-6,4WD,Gasoline,station wagon,6,15,25,19,5,no
22,45,AUDI A4 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6,17,25,20,6,no
23,47,AUDI A4 Cabriolet,3.1,6,Auto-S6,4WD,Gasoline,small car,6,17,25,20,6,no
24,50,AUDI A6,3.1,6,Auto-S6,4WD,Gasoline,midsize car,6,17,25,20,6,no
25,51,AUDI A6,3.1,6,Auto-AV,2WD,Gasoline,midsize car,6,18,27,21,6,no
26,53,AUDI A6,4.2,8,Auto-S6,4WD,Gasoline,midsize car,6,16,23,18,5,no
27,55,AUDI A6 Avant,3.1,6,Auto-S6,4WD,Gasoline,station wagon,6,17,25,20,6,no
